Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Total,Segment
12346.0,321,34,77556.46,2,2,4,8,Loyal
12347.0,35,242,5408.5,3,4,4,11,Champions
12348.0,71,51,2019.4,3,2,3,8,Loyal
12349.0,14,175,4428.69,4,4,4,12,Champions
12350.0,305,17,334.4,2,1,1,4,Others
12351.0,370,21,300.93,2,1,1,4,Others
12352.0,31,103,2849.84,3,3,4,10,Champions
12353.0,199,24,406.76,2,2,2,6,At Risk
12354.0,228,58,1079.4,2,3,3,8,Loyal
12355.0,209,35,947.61,2,2,3,7,At Risk
12356.0,18,143,6373.68,4,4,4,12,Champions
12357.0,28,296,18287.66,3,4,4,11,Champions
12358.0,146,70,3203.87,2,3,4,9,Loyal
12359.0,53,365,8935.94,3,4,4,11,Champions
12360.0,47,217,4252.89,3,4,4,11,Champions
12361.0,282,29,511.25,2,2,2,6,At Risk
12362.0,31,237,4827.19,3,4,4,11,Champions
12363.0,105,23,552.0,2,2,2,6,At Risk
12364.0,3,85,1313.1,4,3,3,10,Champions
12365.0,286,22,641.38,2,2,2,6,At Risk
12366.0,629,3,500.24,1,1,2,4,Others
12368.0,623,18,917.6999999999999,1,1,3,5,At Risk
12369.0,409,93,1791.15,1,3,3,7,At Risk
12370.0,46,202,4320.31,3,4,4,11,Champions
12371.0,40,167,4067.38,3,4,4,11,Champions
12372.0,67,52,1298.04,3,2,3,8,Loyal
12373.0,307,51,1127.65,2,2,3,7,At Risk
12374.0,20,83,2989.2200000000003,4,3,4,11,Champions
12375.0,6,17,457.5,4,1,2,7,At Risk
12376.0,385,13,503.15,1,1,2,4,Others
12377.0,310,152,3426.32,2,4,4,10,Champions
12378.0,125,301,5416.32,2,4,4,10,Champions
12379.0,77,81,1620.22,3,3,3,9,Loyal
12380.0,17,277,9676.300000000001,4,4,4,12,Champions
12381.0,28,80,1698.3,3,3,3,9,Loyal
12383.0,180,99,1850.56,2,3,3,8,Loyal
12384.0,24,27,585.27,4,2,2,8,Loyal
12385.0,374,65,1938.4,2,3,3,8,Loyal
12386.0,333,18,660.8,2,1,2,5,At Risk
